,comments,sentiment
287855,"Best host ever! Carlos is an extremely friendly person, from the beginning he gave me very clear instructions about how to arrive to the property and received me like I was arriving home. The room and the apartment were very clean, and overall I felt very comfortable with my staying. Totally go back whenever have the chance.",1
9714,"We had a lovely stay at Daniel and Raquel's apartment over the New Year 2013 period,. The apartment was very well located in Ipanema, five minutes walk from Ipanema Beach. We walked to Copacabana Beach (20-25 minutes walk) for the New Years fireworks and celebrations which was incredible. 2 million people dressed in white having a fantastic time, really good fun :) 
Was easy to walk back afterwards, which was ideal as taxi's are always hard to find on New Years wherever you are.

The street on which Daniel and Raquel's apartment is situated felt very safe as did the apartment building, even coming back late at night. Within minutes you have an excellent selection of restaurants and bars. The sushi restaurant, Yusuki, is definitely worth trying. We ate at 3 or 4 other restaurants which were all good, although I would not recommend the Tex/Mex restaurant particularly. There is also a grocery store 3 minutes away.

The apartment itself was very clean and tidy and our hosts could not have been more friendly and pleasant. They went out of their way to make our stay comfortable. 

Would definitely recommend  Daniel and Raquel's apartment, perfect location and great hosts!

Kate and Loc (London)",1
166509,"Great place, would stay again!!",1
28069,"
Loved my stay!
Everything was as photographed.  ",1
301983,"Stayed for a month and I can say it is an excellent place. Fast WiFi, comfortable beds, clean, close to everything, quick responses, safe area and very quite for being in Rio. I can warmly recommend this place as one of the best I have been in when in Rio.",1
91083,"Tere's apartment is the best.Modern clean, quiet, safe. All of the needed convenience. Everything is just out your door ... two minutes to the beach and metro.  Close to great restaurants in Ipanema. Will return as soon as possible!!!",1
205901,"This was my first visit to Brazil, a dream destination for me. I'd searched so many hotels as I really wanted a sea view. I'm so glad I discovered this apartment. It was perfect and so much better than some of the overpriced hotel options.
John (and Filipe) were excellent hosts. So welcoming and available if I needed anything (as they can drop by if needed) Apparently, I was their first international guest. I had no problem communicating with them. In fact, we could have chatted for hours!
The view was perfect and the apartment is as it looks in the photos. I spent a lot of time gazing out of the window. It's also close enough to walk to Ipanema, which I prefer as a more chilled out, idyllic beach, whereas Copacabana has a lot more action and facilities.
The kitchen and shower worked well and there are supermarkets behind the apartment. I loved my stay here and the hosts were amazing. I really hope I get a chance to return. Highly reccommend (unless I am coming back, in which case, go away and find a different place cos this is my special little hideaway! ",1
281902,"Our trip to Rio was even better than expected thanks to Alan! The place was perfect - trendy, comfortable and great location. The huge windows had to be our favorite part because the view from the apartment is beautiful! 

Not only was the spot incredible but Alan was a fantastic host. He was extremely accommodating and communicative with us throughout our time in Rio. We arrived to the city very early in the day and he made sure to have the apartment ready earlier than the normal check in time, which was so thoughtful! 

We love Alan and Rio! Can’t wait to come back!",1
7995,Perfect location! 5 min walking distance from Ipanema and Copacabana! Karina is easy to communicate with and very helpful!,1
114268,"The apartment is exactly what you see in the pictures: cozy and clean. Yuri was a great host, always keen to let you feel at home. ",1
101705,"Luiza's apartment was great! Everything was perfect, exactly like the photos. The apartment was clean, tidy and the right size for 4 people.  We were all very impressed!

Santa Teresa is a beautiful and artistic part of Rio. The views from the top of the narrow windy streets are breathtaking. Plus Lapa was great for the nights with lots bars and restaurants!
 
Thank you Luiza!  ",1
5181,"We have great time staying at Valerie and Alex's apartment. We stayed for roughly two weeks. Beautiful place that met all our expectations. Valerie's communication before, during and after our stay was a nice bonus. Plus she offered suggestions and answered our questions about Rio..was just what new visitors to Rio needed. Highly recommend Valerie and Alex's apartment.",1
221787,Great location. Pictures are very accurate. Gabriela was a great host and we had a wonderful stay in Rio. ,1
114403,Great host. Thanks Yuri!,1
96156,It is just a great location with a great host. It’s been my third stay at Marcos’s home and it will not be the last one.,1
150088,"great location, good price",1
163520,Most convenient location for the beach restaurants and sights,1
48885,"This was a great stay! Eduardo was a very helpful and dedicated host, making sure everything was ready for me and was very flexible when I needed to extend my stay. 

The apartment is very comfortable with amazing views. The building is very well appointed with professional and friendly door staff. Next door to the property is a natural park with great trails and views at the top.

Easy to get to anywhere in South Zone and the airport by Uber (Note if ordering through Uber, the GPS system on the app can't find the building correctly so you will need to call and explain the location to the driver or he stops on the other side of the park.) Walking to Ipanema is also very enjoyable through a vibrant area of Lagoa park.

Highly recommended :)",1
176659,Very good communication before checking in (I was arriving at 1am) and very helpful. Very good location...close to a lot of restaurants. (not very near the beach).  I'll stay here anytime.  Good and clean kitchen.,1
102558,"Best location in Rio, close to the beach and best restaurants. The apartment has a fantastic view and the service in the house is impeccable.",1
112760,"His place is like a hotel, it’s very clean , attention to details and small thoughtful touches. He is an amazing host , a true gentleman . You won’t be disappointed",1
96320,"Andrea was an excellent host and very helpful when we arrived and during our stay! She gave us maps, showing us where to go and how everything worked. The apartment was nice and clean and perfect size for two ppl. Great location right next to Copacabana Beach and just a few minutes walk to Ipanema Beach. Great security in the building and a doorman 24 hour. We highly recommend this apartment and Andrea as a host when visiting Rio!",1
74560,"Lu's place is spacious, in a great location, and really well kept. Lu went above and beyond to help us check in in a timely fashion and made our later checkout extremely easy.",1
183716,Very good availability and flexibility from the owner,1
257479,Julia's place is fantastic. I feel the happiness in Rio de Janeiro. I strongly recommend.,1
173155,"Great location in Gávea, spacious and well-kempt apartment, and friendly and communicative hosts. Thanks for the stay!",1
63218,"-Perfect location
-Very comfortable for 2 couples
-Not so comfortable kitchen (no toaster, no oven, old kitchenware)
-could have been a bit cleaner
-could use more lights",1
50386,"Duda provided a well-accommodated apartment at a supreme location near the beach at a very reasonable price. I have only good things to say about Duda, the building and it's employees. It's the perfect place to enjoy Copacabana.

The neighborhood is decent to Rio standards and I would only suggest to always travel light and avoid carrying bags or anything bulky in your pockets. Aside from that the people are very pleasant and helpful.

Thank you Duda for all the help!",1
184466,"very nice appartment
really good location
everything was perfect
we will be back as soon as we can",1
306934,"Guilherme is a wonderful HOST! Always helpful! The apartment is excellent ( clean , with everything you need) mainly if you have kids! The location is wonderful quiet! Guilherme thank you for everything! I highly recommend!",1
263389,"Lina's place is comfortable, clean, well located (walking distance from supermarkets, restaurants, bars, beauty parlors and the beach) and she welcomed us in person: Loved that! Thank you Lina!",1
74985,Staying in your apartment made our trip to Rio even more special. The place was generous in space and  the location could not have been better. It was fab,1
174265,"Great studio located very close to the beach. It's clean and well equipped, located in a safe building with a 24/7 security guard. Supermarket, pharmacy, restaurants, money exchange and many other shops are located at walking distance. Ronaldo is a great host : he's reliable and responsive, he helped me a lot. His studio is definitely a great place to enjoy Rio.",1
